season,player_name,name_key,position,team,ecr,ecr_sd,best,worst,ecr_rank,pos_rank,scrape_date,proj_ppg,proj_games,proj_points,replacement_rank,replacement_ppg,replacement_points,VORP,vorp_ppg,is_streamed,adp_rank,ffc_adp,adp_sd,bye
2026,Parker Washington,parker washington,WR,JAC,66.51,16.43,45.0,115.0,63,30,2026-08-21,9.45636267590311,14.401685026648668,136.18755675611314,28,9.70410835216612,140.31628944882755,-4.128732692714408,-0.24774567626301014,False,63,65.2,6.7,7.0
2026,Brenton Strange,brenton strange,TE,JAC,158.43,25.05,112.0,226.0,152,18,2026-08-21,6.115884244753349,14.411814131742046,88.14098698663484,16,6.4466510716284615,92.90793701650507,-4.76695002987023,-0.33076682687511294,False,152,170.1,22.3,7.0
2026,Rico Dowdle,rico dowdle,RB,PIT,87.68,12.15,65.0,117.0,87,30,2026-08-21,8.908701989029812,13.688017477120349,121.94246852429687,28,9.217244954749557,127.0929008726215,-5.150432348324628,-0.30854296571974515,False,87,74.2,7.2,9.0
2026,Carnell Tate,carnell tate,WR,TEN,66.87,16.4,45.0,126.0,65,31,2026-08-21,9.336796199919402,14.373055532236801,134.1982902746191,28,9.70410835216612,140.31628944882755,-6.11799917420845,-0.3673121522467184,False,65,75.4,7.8,9.0
2026,Hunter Henry,hunter henry,TE,NE,164.71,24.91,112.0,235.0,157,19,2026-08-21,5.961455151533068,14.411814131742046,85.91538359861069,16,6.4466510716284615,92.90793701650507,-6.992553417894385,-0.4851959200953937,False,157,162.8,17.7,11.0
2026,Patrick Mahomes II,patrick mahomes,QB,KC,100.36,12.48,70.0,138.0,98,13,2026-08-21,16.634414401168723,13.872205991204527,230.75602311607162,12,17.13447293279512,238.13776965069272,-7.381746534621101,-0.5000585316263972,False,98,101.5,12.6,5.0
2026,RJ Harvey,rj harvey,RB,DEN,93.64,17.37,43.0,145.0,89,31,2026-08-21,8.760107573900896,13.638533693654406,119.47502230668452,28,9.217244954749557,127.0929008726215,-7.6178785659369765,-0.4571373808486605,False,89,100.5,13.8,10.0
2026,Marvin Harrison Jr.,marvin harrison,WR,ARI,68.51,12.44,45.0,116.0,67,32,2026-08-21,9.219907584359499,14.34461974527679,132.2560683842305,28,9.70410835216612,140.31628944882755,-8.060221064597044,-0.48420076780662136,False,67,65.2,7.5,14.0
2026,Dalton Schultz,dalton schultz,TE,HOU,172.8,26.77,111.0,236.0,165,20,2026-08-21,5.813440514289299,14.411814131742046,83.78222415787627,16,6.4466510716284615,92.90793701650507,-9.125712858628802,-0.6332105573391624,False,165,,15.38935773146037,
2026,Brian Thomas Jr.,brian thomas,WR,JAC,75.86,13.44,49.0,116.0,72,33,2026-08-21,9.10556589312921,14.316387418889601,130.35880899426527,28,9.70410835216612,140.31628944882755,-9.957480454562273,-0.59854245903691,False,72,69.2,7.5,7.0
