player_name,position,proj_ppg_2025,VORP,adp_rank
Sam LaPorta,TE,9.33529411764706,1.8764705882352937,47.0
Jimmy Garoppolo,QB,20.86,1.8693333333333335,
Mark Andrews,TE,9.178947368421053,1.720123839009287,61.0
Tyler Higbee,TE,9.16,1.7011764705882344,
A.J. Brown,WR,12.805882352941175,1.3392156862745086,22.0
Dallas Goedert,TE,8.564285714285715,1.1054621848739492,120.0
Zach Ertz,TE,8.545,1.0861764705882342,166.0
Courtland Sutton,WR,12.458823529411765,0.9921568627450981,56.0
denver broncos,DEF,1.4793365728967025,0.8455882352941176,84.0
Stefon Diggs,WR,12.3025,0.8358333333333334,96.0
Jameson Williams,WR,12.293750000000001,0.8270833333333343,65.0
Tony Jones,RB,11.5,0.7411764705882344,71.0
philadelphia eagles,DEF,1.318622287182417,0.684873949579832,82.0
Rachaad White,RB,11.4125,0.6536764705882341,180.0
los angeles chargers,DEF,1.2710032395633692,0.6372549019607844,224.0
Rico Dowdle,RB,11.39375,0.6349264705882351,171.0
Tony Pollard,RB,11.387500000000001,0.6286764705882355,55.0
green bay packers,DEF,1.2293365728967025,0.5955882352941176,221.0
Tucker Kraft,TE,8.022222222222222,0.5633986928104564,91.0
minnesota vikings,DEF,1.146003239563369,0.5122549019607842,127.0
D'Andre Swift,RB,11.264705882352942,0.5058823529411764,70.0
Garrett Wilson,WR,11.964705882352941,0.4980392156862745,36.0
Jaxon Smith-Njigba,WR,11.941176470588236,0.4745098039215687,32.0
Pat Freiermuth,TE,7.933333333333334,0.47450980392156783,160.0
Cade Otton,TE,7.819999999999999,0.36117647058823366,158.0
Jared Goff,QB,19.343333333333334,0.3526666666666678,103.0
detroit lions,DEF,0.9376699062300359,0.303921568627451,147.0
pittsburgh steelers,DEF,0.8543365728967025,0.22058823529411764,101.0
DeVonta Smith,WR,11.670588235294119,0.20392156862745203,51.0
houston texans,DEF,0.8148628886861762,0.1811145510835913,148.0
seattle seahawks,DEF,0.7661012787790554,0.13235294117647056,223.0
Jordan Addison,WR,11.5875,0.12083333333333357,93.0
baltimore ravens,DEF,0.7359155202651235,0.10216718266253866,97.0
Adam Thielen,WR,11.55,0.08333333333333393,161.0
Bo Nix,QB,19.04222222222222,0.0515555555555558,69.0
Sam Darnold,QB,19.03666666666667,0.04600000000000293,139.0
Jakobi Meyers,WR,11.5,0.033333333333333215,94.0
kansas city chiefs,DEF,0.6668365728967025,0.03308823529411764,131.0
Najee Harris,RB,10.772222222222222,0.01339869281045658,128.0
Rhamondre Stevenson,RB,10.76,0.0011764705882342241,115.0
Brock Purdy,QB,18.990666666666666,0.0,72.0
Jauan Jennings,WR,11.466666666666667,0.0,102.0
Brian Robinson,RB,10.758823529411766,0.0,83.0
Isaiah Likely,TE,7.458823529411766,0.0,187.0
miami dolphins,DEF,0.6337483376025849,0.0,197.0
arizona cardinals,DEF,0.6337483376025849,0.0,222.0
buffalo bills,DEF,0.5918365728967026,-0.041911764705882315,185.0
Tay Martin,WR,11.4,-0.06666666666666643,44.0
chicago bears,DEF,0.5455130434849378,-0.08823529411764708,189.0
Patrick Mahomes,QB,18.88842105263158,-0.10224561403508758,49.0
T.J. Hockenson,TE,7.354545454545455,-0.10427807486631036,53.0
Kareem Hunt,RB,10.65,-0.10882352941176521,153.0
Evan Engram,TE,7.333333333333333,-0.1254901960784327,80.0
Xavier Worthy,WR,11.3,-0.16666666666666607,58.0
LA,DEF,0.45959973079143934,-0.17414860681114552,82.0
Jerry Jeudy,WR,11.288235294117648,-0.17843137254901897,88.0
Christian McCaffrey,RB,10.575000000000001,-0.1838235294117645,8.0
new orleans saints,DEF,0.4131601023084672,-0.22058823529411764,
new york jets,DEF,0.36904245524964374,-0.2647058823529411,225.0
D.J. Moore,WR,11.123529411764707,-0.34313725490195957,52.0
tampa bay buccaneers,DEF,0.2710032395633692,-0.3627450980392157,195.0
jacksonville jaguars,DEF,0.23668951407317312,-0.39705882352941174,
Hunter Henry,TE,7.025,-0.4338235294117654,143.0
new england patriots,DEF,0.14845421995552605,-0.4852941176470588,205.0
washington commanders,DEF,0.14183657289670254,-0.4919117647058823,211.0
Rashid Shaheed,WR,10.966666666666669,-0.4999999999999982,186.0
Cooper Kupp,WR,10.964285714285714,-0.5023809523809533,116.0
Kyler Murray,QB,18.48470588235294,-0.505960784313725,90.0
Mike Gesicki,TE,6.9375,-0.5213235294117657,172.0
new york giants,DEF,0.016101278779055483,-0.6176470588235294,204.0
DK Metcalf,WR,10.813333333333333,-0.6533333333333342,48.0
Michael Carter,RB,10.1,-0.6588235294117659,
san francisco 49ers,DEF,-0.028016368279768056,-0.6617647058823529,200.0
atlanta falcons,DEF,-0.028016368279768056,-0.6617647058823529,
Cole Kmet,TE,6.778571428571429,-0.6802521008403364,
las vegas raiders,DEF,-0.1162516623974151,-0.75,
indianapolis colts,DEF,-0.1162516623974151,-0.75,
cincinnati bengals,DEF,-0.16036930945623865,-0.7941176470588235,215.0
cleveland browns,DEF,-0.16036930945623865,-0.7941176470588235,226.0
tennessee titans,DEF,-0.20448695651506218,-0.8382352941176471,
Tyrone Tracy,RB,9.841176470588236,-0.9176470588235297,85.0
Juwan Johnson,TE,6.52,-0.9388235294117662,
Tyreek Hill,WR,10.452941176470588,-1.0137254901960784,34.0
dallas cowboys,DEF,-0.38095754475035637,-1.0147058823529411,207.0
Josh Downs,WR,10.442857142857141,-1.0238095238095255,135.0
Kyle Pitts,TE,6.335294117647059,-1.1235294117647063,140.0
Zach Charbonnet,RB,9.57058823529412,-1.1882352941176464,113.0
George Pickens,WR,10.273333333333335,-1.1933333333333316,59.0
Zay Flowers,WR,10.147058823529411,-1.3196078431372555,60.0
Darnell Mooney,WR,10.075000000000001,-1.3916666666666657,201.0
Keenan Allen,WR,10.026666666666667,-1.4399999999999995,174.0
Jordan Mason,RB,9.291666666666666,-1.4671568627450995,92.0
Calvin Ridley,WR,9.952941176470588,-1.5137254901960784,76.0
Austin Ekeler,RB,9.206666666666667,-1.5521568627450986,154.0
Tyler Conklin,TE,5.9,-1.5588235294117654,
Joshua Dobbs,QB,17.419999999999998,-1.5706666666666678,
